,resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,average_temp,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score,average_watts,kilojoules,device_watts
0,2,"{'id': 29273440, 'resource_state': 1}",Morning Run,6771.9,2027,2032,61.0,Run,0.0,5663362636,garmin_push_7163982511,6024803565.0,2021-07-21T13:09:14Z,2021-07-21T09:09:14Z,(GMT-05:00) America/New_York,-14400,"[38.883183, -77.107852]","[38.882071, -77.107459]",,,,38.883183,-77.107852,0,1,0,1,0,"{'id': 'a5663362636', 'summary_polyline': '{jilFbcsuMO`@UCo@BSDo@?wAb@}BDWJCAi@HeCM{ALi@Aq@@}@COBoA?a@La@DUTUDw@@w@F{BCa@EOE}@GEBGF?FdAhEj@hBh@tCR~A?FKV[Zk@Ra@XcCPaA?s@Bo@A_ABy@Cq@HiBD_AHg@CeDF_AH[@m@Hc@?o@Fu@B[AiADk@Am@?S@_ATYBCF@VPfBAp@s@xE_@`BUb@Ml@e@rAm@lAAJU~@u@jC]r@Of@CTFTCl@ITFdA@~AJf@Cj@Md@?NTjDJp@b@hBfBlGN^HDT@b@Gp@DPI\\_@^Yl@[dAc@f@i@~AcAPGj@e@hAw@p@{@x@qAn@{@`BeBb@Yr@[TIT?r@STCb@@NFT@`@En@@~DUx@OnBWjAUd@Kp@Y^G\\Kf@SVMlBs@j@OLGPS`@It@UnBq@r@m@JErA[TCH]?[BI?YK_AGEaBGcA@{AHYO[c@[aAKk@B_@V]`@QvEG`AKF_AE_@Co@GOoAD_C@{@Na@?SUOw@IwABc@LStA]\\EnB@|AEHC@C@a@CsBICu@JKDaBLiADs@CUMCGOmACaB@e@BEJEnBm@fACL@nAOb@WB_@?s@BOPa@VSx@UbBK`@W?sCWqDBEz@i@JCv@Cd@EfAClAYh@[A_@FMt@e@X`@XZB@DAEEIJOCAGNBRLL@LC?B', 'resource_state': 2}",False,False,False,False,everyone,False,g7342502,0.0,6024803565.0,3.341,4.5,84.6,30.0,True,146.2,163.0,False,True,126.8,84.2,0,0,False,8.0,,,
1,2,"{'id': 29273440, 'resource_state': 1}",Morning Run,16892.6,4940,5006,186.0,Run,0.0,5657793379,garmin_push_7157978552,6019010686.0,2021-07-20T12:36:01Z,2021-07-20T08:36:01Z,(GMT-05:00) America/New_York,-14400,"[38.882287, -77.107383]","[38.882297, -77.107389]",,,,38.882287,-77.107383,8,4,0,1,0,"{'id': 'a5657793379', 'summary_polyline': 'geilFd`suMy@bAM@s@b@sAVyCFcBNo@VoD`@kGAaFVcE?cDOWJWAc@S_BKoFmAkAMsJ@o@EcDJw@NeCtAuAb@_BlAeDHmBf@iAJ{@B}AKqCz@oE?y@IkB}AeA{Au@[eBGyAV_A`@w@f@IAuAtA_BfA{@~@mBhAoC|@}@d@sDx@e@h@}ArCuEpEy@l@aAPcBt@gBn@eDdDo@x@QZSp@gAvBm@tBUXW|@e@fA{AjCg@fAoAjAq@b@yA^wBBqBKmBTyBbAo@`@e@N_CXaBb@k@^u@`AqA\\eA@qCx@iANuF`CuCz@mEhBYFc@C]J}CuBg@e@EUHcAGUKGy@K_@?uDbAiALk@QCe@Le@Bc@GuAi@gAGg@Ba@Ei@Qo@C}@Q}@KYe@_AMm@Wk@WeBm@_Bi@oFKqB{AiOCHLdAGOIy@BIBHOREMFYFCjDeBrL_H~CgCdBwBj@a@xDcF~EmHh@uArAwBh@g@|@iBhCsDhEoEjDcCh@i@|@i@pFuCtHmExCyAdAu@xDiB|AkAjAi@|@o@p@SnC}BfAs@xBmBpCqCrD{EbAwA|BwDXs@lBeDr@iBNw@r@{An@}BhA}EdBaKnCuKx@wDhA}Dh@sCLaB?o@OqA}@}DGo@_@cBKcBQ}ACuBHeAbAuFZyCRyHD{ENqAlAmPITa@P[KIg@Fs@AeAHi@^YlB`AlDdA~CnA|Br@v@`@xFnBv@x@^v@Zb@`@RbA@nA|An@p@l@R|ABRENSnB_@hBR\\N?XMXOt@A|BRx@@b@R~@NlBCb@RtBIxAb@r@XvD@fBYl@@L^JxAIRUPGhADvAEd@H`@`@j@hBXTd@~AdAdCpArEx@lBd@tBz@bCr@jC^~@PdA@vAJlA\\tA`@bAIbA|@vBP~@n@n@Ht@Pv@Br@\\nAE|@DdAH^`@`@x@tAt@fC`@pB`@x@F^?~AlBdEDT`BvB~@xBr@x@h@Zj@r@~@bBlAbBt@nAAZb@`BZf@Ph@f@d@hAbDf@nBNRn@XD~APt@Rd@XD|@i@d@ECNDVHHB^x@bBV|@CHDf@d@zAZj@b@vAb@`A`@^z@tAhCbHFXBhDFt@Ex@K^Et@Yn@UFETW^URi@AWa@DIOy@CLHLA_@?VDAC?', 'resource_state': 2}",False,False,False,False,everyone,False,g7531662,0.0,6019010686.0,3.42,8.1,84.8,29.0,True,156.5,182.0,False,True,94.0,15.0,5,0,False,44.0,,,
2,2,"{'id': 29273440, 'resource_state': 1}",Evening Activity,0.0,2883,2883,0.0,WeightTraining,,5655164283,garmin_push_7155060422,6016271542.0,2021-07-19T23:52:18Z,2021-07-19T19:52:18Z,(GMT-05:00) America/New_York,-14400,,,,,,,,0,0,0,1,0,"{'id': 'a5655164283', 'summary_polyline': None, 'resource_state': 2}",True,False,False,False,everyone,False,,0.0,6016271542.0,0.0,0.0,,28.0,True,125.7,156.0,False,True,,,0,0,False,9.0,,,
3,2,"{'id': 29273440, 'resource_state': 1}",Evening Run,4989.0,1590,1590,0.0,Run,0.0,5655264857,,,2021-07-19T23:23:09Z,2021-07-19T19:23:09Z,(GMT-05:00) America/New_York,-14400,,,,,,,,0,1,0,1,0,"{'id': 'a5655264857', 'summary_polyline': None, 'resource_state': 2}",False,False,True,False,everyone,False,g6682189,,,3.138,0.0,,,False,,,False,False,,,0,0,False,,,,
4,2,"{'id': 29273440, 'resource_state': 1}",Afternoon Run,7416.8,2361,2396,81.0,Run,0.0,5649107094,garmin_push_7148408966,6009958254.0,2021-07-18T17:59:55Z,2021-07-18T13:59:55Z,(GMT-05:00) America/New_York,-14400,"[38.88191, -77.107425]","[38.882136, -77.107456]",,,,38.88191,-77.107425,0,1,0,1,0,"{'id': 'a5649107094', 'summary_polyline': '}bilFl`suMn@[`@YZ_@_@H_Cx@yBf@{Dd@q@Ls@Xm@JcBH]J]Bk@ByAAc@Ea@HY@y@@]AiCJa@B}AB[QQa@LgAOqGGi@BeBEm@EiBDyBA{AD[Ie@KKgAHa@?kBL}E`AsBr@c@Jo@F}D?y@B[Ci@Dg@AM@]AcADgA?WESF[ByA@{@D[KOMEKEg@Ue@QcBYcAQqAAgAGi@BkADe@Bs@Es@D[BcAJs@?o@Ce@@_@Gm@x@sCHe@CQD{AAa@E[Ck@Yo@Ok@H}@Cq@Q[y@_A_@YOGG?ECo@sASS]Qa@i@A_@g@q@CJ]CGLUXOZa@j@[r@s@p@[v@Wb@QHCCI_@Do@Li@Dw@VsAFoAAg@I{@KyA?KFUIs@BEBWO[Iy@DeDCq@KUIm@Oa@Mg@a@w@c@k@Oc@Ac@I]FYDEAOc@_AGm@Lc@Zc@BIAc@Ja@XyBEUMR?TG\\FJ?HBBKDPDDD@NM^Ih@JHF@J?HHHPHF@TPt@Zf@h@tANj@Hj@Af@DtAFPHl@CXBl@CXB`AJh@HxAAfADj@J^P\\Tl@V`@XXZRnArAFBRVHZJL~B`CT^v@`AXDJZZHPj@^d@R\\FJFVDh@Lh@Jz@Jn@Hj@Dx@Ff@j@bBX^NLHP^V\\JTP`@PjAz@hAr@rCx@FHtAPh@NfAJd@NlBNFDx@F|BI`@I`@?~BWh@?p@I`@Ct@c@\\MPERGR?ZGj@CVIrAEPCl@Sh@GbA@ZUb@e@RCl@CPCZDJHHXThAVl@FD^Cr@e@`@KH@DZ\\dARVNHn@vACn@KXBTTXXd@HHRd@Fn@Zv@V\\`@`@Dn@FVn@`BXb@HZj@z@Rd@PFXX`@jAFRAN@LRh@ThA?ZIJC@ACa@Ae@Da@@yA\\IDIPWJT^Hr@Wn@', 'resource_state': 2}",False,False,False,False,everyone,False,g6682194,0.0,6009958254.0,3.141,8.3,83.6,29.0,True,143.0,171.0,False,True,90.4,38.2,0,0,False,11.0,,,
5,2,"{'id': 29273440, 'resource_state': 1}",Evening Walk,2961.6,1693,1847,35.0,Walk,,5648787936,garmin_push_7148071198,6009624226.0,2021-07-18T00:00:09Z,2021-07-17T20:00:09Z,(GMT-05:00) America/New_York,-14400,"[38.881846, -77.108767]","[38.882035, -77.107419]",,,,38.881846,-77.108767,0,0,0,1,0,"{'id': 'a5648787936', 'summary_polyline': 'obilFxhsuME}@U_@o@KYc@_BMe@QO?GBBFAFBXVVJXHNPHPBTN?BWL@?E?SZWR?b@Zd@HZp@x@LXf@TbALT?BCRD@Cb@BYBc@GECK?CIC@T?hF`EWTPH@NPLACO@mANK?ODORELVl@XPFLLb@?j@b@l@DFFA?DFDOf@[L?FNDjAGDBKFOVc@NOXIFEHEVLTMD_@^KZBJ@^Lf@Zv@VPC@VEJI?FGVCXD?CA?I@Er@_@C?VAMK?Af@{@lAuAGEGc@KGMMDGe@IEM?IIMOGAEMAAIOGAQj@iACMHCJS\\YDMEYBQHMLM`@s@POLO@_@S{@F]Vi@GUIKCKqAiBGSP[BUZSDE?GPQBKNCXBK?[J[DM{@a@a@Mc@Sc@CMDe@?SCMFUEm@V}ADCKAI_@F_@BGPO@GSq@D@@BAAGLCAD@GAMBDJHKCGQWSKKA_@WGW?OEEEURM]y@Cy@GG_@MNOGCEWEG?MNGf@a@b@q@?_@AK_@MXi@EMg@Ac@KM@y@JOHEDq@?IBADO?C@M@[PPp@CL@PTHFLFBJADBBPVHDDHb@Ad@Xn@BZJVBLR^E\\Jj@Qb@In@E?IFs@F_@Go@BE@BCMEe@EAC[?O@CD@XZl@E@GNh@b@JDDHJ@', 'resource_state': 2}",False,False,False,False,everyone,False,g7313202,0.0,6009624226.0,1.749,8.4,58.4,31.0,True,101.6,117.0,False,True,116.6,85.8,0,0,False,3.0,,,
6,2,"{'id': 29273440, 'resource_state': 1}",Lunch Activity,0.0,2980,2980,0.0,WeightTraining,,5642585928,garmin_push_7141608329,6003129472.0,2021-07-17T15:28:08Z,2021-07-17T11:28:08Z,(GMT-05:00) America/New_York,-14400,,,,,,,,0,0,0,1,0,"{'id': 'a5642585928', 'summary_polyline': None, 'resource_state': 2}",True,False,False,False,everyone,False,,0.0,6003129472.0,0.0,0.0,,30.0,True,109.1,144.0,False,True,,,0,0,False,7.0,,,
7,2,"{'id': 29273440, 'resource_state': 1}",Morning Run,5954.6,1884,1884,0.0,Run,,5642598874,,,2021-07-17T14:53:56Z,2021-07-17T10:53:56Z,(GMT-05:00) America/New_York,-14400,,,,,,,,0,1,0,1,0,"{'id': 'a5642598874', 'summary_polyline': None, 'resource_state': 2}",False,False,True,False,everyone,False,g6682194,,,3.161,0.0,,,False,,,False,False,,,0,0,False,,,,
8,2,"{'id': 29273440, 'resource_state': 1}",Morning Run,21274.6,6563,6633,235.0,Run,0.0,5636805954,garmin_push_7135457850,5997087389.0,2021-07-16T12:51:25Z,2021-07-16T08:51:25Z,(GMT-05:00) America/New_York,-14400,"[38.882739, -77.107179]","[38.882157, -77.107131]",,,,38.882739,-77.107179,3,3,0,1,0,"{'id': 'a5636805954', 'summary_polyline': 'ahilFz~ruMeAa@YAeAkEYO_DRMPOn@w@z@eD`@cAz@DrACTW`@CvAkGJIOC}IEgA?oJKsFG_Ai@uDf@iDaBTwHVuAQ_BBwCq@mDa@yBi@sCgAcFeDc@q@g@sCSmDHm@w@uAI_@e@i@Mg@f@qChAoBx@oA|@oCRmADmA_@}Ii@oFqA_Jo@uBm@sFw@kC_@uBQuDB_CIkBLsEKgAg@qBu@aB_@m@Ac@SWIa@JYENcAsDyCoFc@yEYy@GgAXwEPyJOuASYuAy@y@iAc@S}@Ba@Yy@aB_Au@eXyJyA]aEl@cBO{ANcKPgCQ{Ff@cGDkFXqDE}CPwCKwCTaFFc@HeGdFoCrBeKpF]j@wCbBwCHeCMyFFeBJwLUeBXGQ_H]eC]AcAJ{ASi@C]FaAi@}B_@o@cADCa@OUS@EYAy@Fk@v@_ANq@W`BOR[CSiALcBGg@FeA@uFRwByFAcIFiAM{FFi@IGQK{CHgEEaL\\mBzA{Fh@wIDiFDs@f@qBh@i@bCkAh@qA?gBFQZQjA@^QDfC]tEBTNLz@OjFsCbAMxAiAx@Q`A}@HUf@HfBgA`AWbCyAtAc@h@a@Tm@h@BvFeB^i@z@W~@gAxBcAbDqAzAg@tAyAbHsC~NmHf@Gr@i@Ta@b@OfAJVdAp@tAXbA^vCN`@RF`Bi@pCDp@LpAOJHVdBEr@Fr@@hDGdEHXCnBD|CDLfCuDlA}Bt@u@~AgCpAeC`AwAVQVgAPItAj@h@MVc@Dg@NElABXTr@Xj@xB^lECrHDbBHbAlFhChAVbEDrHMVD\\XRn@Q|ARvHMbBBrAd@T`CCP\\HpA]hFJn@EdAShBHzAf@p@[bB?rAKnBBtBR|@H|BRt@MtA@bAEvAK~@Rn@PvBP`@rPhG~Ax@hGtBb@?~ASj@n@l@A^Pr@KfEFn@c@RBRRMrBT|@^Zh@FfAp@l@KhC|@^ObBv@V`@DzAKjACx@h@xBFtD^AK~A^tAPDQtAWXn@lAMn@HhAhArBAZZz@Lx@~AhD~@tCJfAZbAn@x@hB`GEzAx@dCTzDb@`@LpAj@bAj@zEXXnAxFCl@Nv@j@~@hAnEh@vAVnAf@dAE`@SVd@pAxB`FfCrD~@lB~B`DZxAbBfBh@lBh@t@Tp@dAjBpAbEp@n@Hj@E\\pBbHpBjEBNKTDTXf@^~A|@hBdBdI?^Wd@Cj@XzAUXBPbAbA', 'resource_state': 2}",False,False,False,False,everyone,False,g8413986,0.0,5997087389.0,3.242,5.6,84.8,33.0,True,162.3,185.0,False,True,117.2,19.6,2,2,False,99.0,,,
9,2,"{'id': 29273440, 'resource_state': 1}",Morning Run,12202.8,3427,3441,145.0,Run,0.0,5631172345,garmin_push_7129451288,5991221299.0,2021-07-15T11:38:55Z,2021-07-15T07:38:55Z,(GMT-05:00) America/New_York,-14400,"[38.882325, -77.107671]","[38.882329, -77.107392]",,,,38.882325,-77.107671,3,1,0,1,0,"{'id': 'a5631172345', 'summary_polyline': 'oeilF~asuMECO@eAR]CsAJoBBWDYNmANg@Lm@Fc@?e@Dk@@q@Ae@GEEC?WBa@NeCHc@CwAHk@?aFEo@@}@HqBAi@O}@M{@EaDy@oAWyBKiBFwACu@DgA?a@CyA?{Ct@YLaAv@YNsA^WTEj@E?KGWEa@LoBLUFs@JwDZiAFgAB[Fw@X{@PaBFyACu@Kc@U_@a@[Wk@{@i@g@s@WWMa@Gu@Am@Jc@@a@P_@X{A|@g@f@wAfAyA|@y@z@{@h@i@LwAf@q@NYLsC|@s@f@e@p@s@xAcBxASTsAbA]\\UPgAb@k@F_A^cAd@y@p@MVwAlAkA|AU^u@`BKJuAlDETa@t@]~@mA~BW^s@vAa@j@c@VUX]ReBd@k@@MD[@qCOcAAk@Fq@ZiAt@y@`@aC^o@Dk@Tm@LCBINWTUNYX_@RcAZc@Bc@AmCb@cAd@c@J_@R]NgCjAMDS?gA`@c@HkBn@e@XMBsAl@YVAFLXR\\N\\~@~A`CxDf@l@RNX^d@XfAf@tBfAh@RfAdA\\|@^`B^hAN`AM`IDj@`@^nBzB`@XnAzAhFrM`AnCNj@Tf@Lf@t@~AX|@\\d@p@r@j@Vb@Jf@TbA\\p@HR@rAIRI^WXk@JMTBH?|A_@t@MtCu@v@MpAs@|@iAp@i@f@o@|@u@j@s@|A{At@i@~@i@TGl@]\\[f@Uj@a@r@a@dAs@nCwAl@a@lAs@zAw@bBcAdCqAr@WbBu@`Ak@|BkBbAsA~@_BHO?Kx@aAZk@f@YZ_@~CsDn@}@d@i@jA}ArAuBnA_BrBsCpBeCbAeBZw@Pu@Fs@@cAQ}A?c@F[Ky@DQ`@Yd@OjBMdA@~ARl@NVL|@NrDvAfA`@LBdAb@`Bd@R@x@yA|@gAp@c@dAe@f@O`AUVCzAEx@Bl@Gb@@rBM~Ce@zCm@bCy@jAYzAq@d@WNCzCkAbAm@hAYRCFC@SNm@DAhAHt@MjAa@~@SlCgArBa@v@_@ZCNKLg@Ak@QcALsACsAJcBK{AEMAk@Dy@Gi@Aq@CYCuAIeBIk@Bu@CcBDo@KYASVkA?a@Q}Bc@qBr@q@NEDGBEACMARIGEA@LK', 'resource_state': 2}",False,False,False,False,everyone,False,g8413986,0.0,5991221299.0,3.561,5.2,85.8,28.0,True,157.6,183.0,False,True,133.8,56.8,2,0,False,38.0,,,
